it,Hora,Temp Exterior, Temp Anterior, Temp Optimizada, action, Nueva Temperatura, Siempre Prendido, Siempre Apagado
0,08:30,30.3,30.2,22,1,26.39445,26.39445,31.99914,
1,09:00,30.4,26.39445,22,1,23.62823,23.62823,32.97218,
2,09:30,30.4,23.62823,22,1,21.52033,21.52033,33.4004,
3,10:00,30.7,21.52033,22,0,23.67706,20.01348,33.55557,
4,10:30,31.1,23.67706,22,1,21.44004,18.98855,33.54749,
5,11:00,31.5,21.44004,22,0,23.23889,18.26429,33.38842,
6,11:30,31.9,23.23889,22,1,20.86117,17.81084,33.23124,
7,12:00,32.5,20.86117,22,0,22.32825,17.49925,33.04921,
8,12:30,32.8,22.32825,22,1,19.98462,17.25343,32.83216,
9,13:00,33.2,19.98462,22,0,21.09959,17.06057,32.61309,
10,13:30,33.4,21.09959,22,0,22.05852,16.89104,32.37813,
11,14:00,33.7,22.05852,22.0589877105293,0,23.01384,16.79362,32.21524,
12,14:30,34.2,23.01384,22,1,20.03885,16.65035,31.96852,
13,15:00,34.5,20.03885,22,0,20.65497,16.54832,31.7569,
14,15:30,34.7,20.65497,22,0,21.13245,16.44969,31.53335,
15,16:00,34.8,21.13245,22,0,21.56462,16.38974,31.35969,
16,16:30,34.9,21.56462,22,0,21.95243,16.33807,31.20319,
17,17:00,35.1,21.95243,22,0,22.25181,16.27028,31.01641,
18,17:30,35.3,22.25181,22,1,19.21297,16.21713,30.84505,
19,18:00,35.1,19.21297,22,0,19.55435,16.21099,30.7481,
20,18:30,34.9,19.55435,22,0,19.9083,16.23486,30.73004,
21,19:00,34.7,19.9083,22,0,20.32189,16.28652,30.79885,
22,19:30,34.3,20.32189,22,0,20.80653,16.35416,30.92953,
23,20:00,33.8,20.80653,22,0,21.42456,16.44824,31.1378,
24,20:30,33.4,21.42456,22,0,22.27493,16.58893,31.45067,
25,21:00,33,22.27493,22,1,19.76514,16.7268,31.77784,
26,21:30,32,19.76514,22,0,21.05748,16.94252,32.2105,
27,22:00,31.6,21.05748,22,0,22.69684,17.19818,32.68545,
28,22:30,31.2,22.69684,22,1,20.5641,17.36721,32.99704,
29,23:00,30.8,20.5641,22,0,22.48078,17.55022,33.27965,
30,23:30,30.5,22.48078,22,1,20.64327,17.7035,33.48668,
31,00:00,30.3,20.64327,22,0,22.80127,17.83747,33.64572,
32,00:30,30.1,22.80127,22,1,20.98568,17.93481,33.74636,
33,01:00,30.1,20.98568,22,0,23.27397,18.00983,33.81575,
34,01:30,29.9,23.27397,22,1,21.39881,18.08023,33.88127,
35,02:00,29.8,21.39881,22,0,23.82187,18.13946,33.92989,
36,02:30,29.7,23.82187,22,1,21.85975,18.18968,33.97028,
37,03:00,29.5,21.85975,22,0,24.41959,18.25147,34.02591,
38,03:30,29.6,24.41959,22,1,22.39303,18.31351,34.07612,
39,04:00,29.5,22.39303,22,1,20.90224,18.34492,34.09482,
40,04:30,29.5,20.90224,22,0,23.4511,18.37426,34.11393,
41,05:00,29.3,23.4511,22,1,21.71633,18.41693,34.15129,
42,05:30,29.2,21.71633,22,0,24.44905,18.47668,34.20217,
43,06:00,29.3,24.44905,22,1,22.52317,18.51784,34.22862,
44,06:30,29.5,22.52317,22,1,21.03345,18.48508,34.17931,
45,07:00,29.7,21.03345,22,0,23.55138,18.42332,34.11493,
46,07:30,29.9,23.55138,22,1,21.66451,18.34215,34.04041,
47,08:00,30.3,21.66451,22,0,24.0199,18.2221,33.92879,
48,08:30,30.4,24.0199,22,1,21.84571,18.1111,33.83444,
49,09:00,30.4,21.84571,22,0,24.10778,18.04419,33.7865,
50,09:30,30.4,24.10778,22,1,21.88049,17.99742,33.75389,
51,10:00,30.5,21.88049,22,0,24.09518,17.95807,33.72225,
52,10:30,30.8,24.09518,22,1,21.80763,17.90435,33.66953,
53,11:00,31.1,21.80763,22,0,23.82198,17.80252,33.55881,
54,11:30,31.5,23.82198,22,1,21.4243,17.69219,33.44091,
55,12:00,31.6,21.4243,22,0,23.14652,17.56498,33.29924,
56,12:30,31.8,23.14652,22,1,20.78605,17.46409,33.18523,
57,13:00,32.3,20.78605,22,0,22.28223,17.35546,33.05361,
58,13:30,32.4,22.28223,22,1,20.02753,17.24475,32.91121,
59,14:00,32.7,20.02753,22,0,21.27359,17.12909,32.753,
60,14:30,32.9,21.27359,22,0,22.47535,17.04238,32.62491,
61,15:00,33.4,22.47535,22,1,19.92021,16.92857,32.45072,
62,15:30,33.6,19.92021,22,0,20.82238,16.80938,32.25393,
63,16:00,33.8,20.82238,22,0,21.65385,16.72991,32.10134,
64,16:30,33.8,21.65385,22,0,22.45921,16.67026,31.9742,
65,17:00,34.1,22.45921,22,1,19.68842,16.61277,31.85269,
66,17:30,34.1,19.68842,22,0,20.3542,16.55209,31.71799,
67,18:00,33.8,20.3542,22,0,21.04528,16.55828,31.68659,
68,18:30,33.7,21.04528,22,0,21.84962,16.61522,31.75737,
69,19:00,33.2,21.84962,22,0,22.80567,16.69712,31.89145,
70,19:30,32.9,22.80567,22,1,20.16927,16.80813,32.09129,
71,20:00,32.5,20.16927,22,0,21.38359,16.93216,32.31971,
72,20:30,32,21.38359,22,0,22.83698,17.09051,32.59435,
73,21:00,31.7,22.83698,22,1,20.53995,17.22949,32.83127,
74,21:30,31.2,20.53995,22,0,22.30153,17.40379,33.09597,
75,22:00,30.9,22.30153,22,1,20.42257,17.56047,33.31514,
76,22:30,30.7,20.42257,22,0,22.40653,17.67824,33.46506,
77,23:00,30.3,22.40653,22,1,20.6287,17.79686,33.60404,
78,23:30,30,20.6287,22,0,22.85981,17.92538,33.74289,
79,00:00,30,22.85981,22,1,21.09755,18.03249,33.84557,
80,00:30,30,21.09755,22,0,23.44453,18.08752,33.88596,
81,01:00,29.9,23.44453,22,1,21.53996,18.13171,33.92003,
82,01:30,29.9,21.53996,22,0,23.99244,18.17804,33.95901,
83,02:00,29.7,23.99244,22,1,21.99417,18.21759,33.99134,
84,02:30,29.4,21.99417,22,0,24.63552,18.3055,34.07697,
85,03:00,29.4,24.63552,22,1,22.58786,18.36687,34.12181,
86,03:30,29.3,22.58786,22,1,21.10551,18.42549,34.16625,
87,04:00,29.2,21.10551,22,0,23.76324,18.47179,34.19778,
88,04:30,28.9,23.76324,22,1,22.04809,18.54949,34.26628,
89,05:00,28.9,22.04809,22.0482485380673,0,24.9264,18.6116,34.30694,
90,05:30,28.9,24.9264,22,1,22.9808,18.66504,34.33958,
91,06:00,29,22.9808,22,1,21.49625,18.67429,34.32949,
92,06:30,29.1,21.49625,22,0,24.28396,18.6598,34.30596,
93,07:00,29.2,24.28396,22,1,22.41682,18.63264,34.2787,
94,07:30,29.2,22.41682,22,1,21.02374,18.60346,34.25522,
95,08:00,29.3,21.02374,22,0,23.70012,18.58111,34.2394,
96,08:30,29.4,23.70012,22,1,21.91692,18.54028,34.20504,
97,09:00,29.5,21.91692,22,0,24.57709,18.48828,34.16161,
98,09:30,29.7,24.57709,22,1,22.49155,18.42445,34.10735,
99,10:00,30,22.49155,22,1,20.8864,18.33262,34.02629,
100,10:30,30.1,20.8864,22,0,23.19262,18.22875,33.93744,
101,11:00,30.6,23.19262,22,1,21.2495,18.11782,33.83836,
102,11:30,31.1,21.2495,22,0,23.26705,17.93659,33.65849,
103,12:00,31.3,23.26705,22,1,21.02466,17.75821,33.48289,
104,12:30,31.5,21.02466,22,0,22.77794,17.62632,33.354,
105,13:00,31.8,22.77794,22,1,20.53947,17.50052,33.21893,
106,13:30,32,20.53947,22,0,22.06725,17.39493,33.0986,
107,14:00,32.6,22.06725,22.0675525087123,0,23.55006,17.26772,32.93928,
108,14:30,32.8,23.55006,22,1,20.77145,17.1121,32.72847,
109,15:00,33.2,20.77145,22,0,21.91295,17.01033,32.57851,
110,15:30,33.7,21.91295,22,0,22.85011,16.83681,32.31149,
111,16:00,34.3,22.85011,22,1,19.96803,16.69506,32.06432,
112,16:30,34.6,19.96803,22,0,20.49685,16.51968,31.73583,
113,17:00,34.7,20.49685,22,0,20.9381,16.41943,31.48846,
114,17:30,34.8,20.9381,22,0,21.33676,16.36167,31.30446,
115,18:00,34.6,21.33676,22,0,21.78119,16.36312,31.22592,
116,18:30,34.5,21.78119,22,0,22.2994,16.38867,31.22109,
117,19:00,34.2,22.2994,22,1,19.46628,16.4236,31.25962,
118,19:30,33.9,19.46628,22,0,20.18668,16.5021,31.39604,
119,20:00,33.8,20.18668,22,0,20.95856,16.57708,31.55695,
120,20:30,33.5,20.95856,22,0,21.79263,16.64057,31.70794,
121,21:00,33.3,21.79263,22,0,22.77835,16.71981,31.88461,
122,21:30,33.1,22.77835,22,1,20.10454,16.78341,32.03543,
123,22:00,32.9,20.10454,22,0,21.19485,16.85617,32.19006,
124,22:30,32.5,21.19485,22,0,22.4003,16.93451,32.34661,
125,23:00,32,22.4003,22,1,20.11053,17.0642,32.5696,
126,23:30,32,20.11053,22,0,21.58361,17.17482,32.76022,
127,00:00,31.7,21.58361,22,0,23.18402,17.26044,32.9032,
128,00:30,31.4,23.18402,22,1,20.87417,17.3708,33.06737,
129,01:00,31.4,20.87417,22,0,22.63497,17.45446,33.18592,
130,01:30,31.3,22.63497,22,1,20.55315,17.50732,33.25703,
131,02:00,31.1,20.55315,22,0,22.36395,17.55413,33.31635,
132,02:30,30.9,22.36395,22,1,20.4599,17.62805,33.40747,
133,03:00,30.7,20.4599,22,0,22.42923,17.70019,33.49108,
134,03:30,30.5,22.42923,22,1,20.60138,17.77186,33.57083,
135,04:00,30.3,20.60138,22,0,22.70785,17.84329,33.64706,
136,04:30,29.8,22.70785,22,1,20.98626,17.99148,33.81015,
137,05:00,29.7,20.98626,22,0,23.41619,18.11857,33.93129,
138,05:30,29.5,23.41619,22,1,21.61766,18.22453,34.02305,
139,06:00,29.5,21.61766,22,0,24.21346,18.29987,34.07635,
140,06:30,29.6,24.21346,22,1,22.21942,18.32528,34.0801,
141,07:00,29.7,22.21942,22,1,20.75469,18.32925,34.07096,
