Hora,TempExterna
08:00,29.4
08:05,29.4
08:10,29.5
08:15,29.5
08:20,29.5
08:25,29.5
08:30,29.7
08:35,29.7
08:40,29.8
08:45,29.9
08:50,29.9
08:55,29.9
09:00,30
09:05,30.2
09:10,30.2
09:15,30.2
09:20,30.2
09:25,30.3
09:30,30.3
09:35,30.3
09:40,30.5
09:45,30.5
09:50,30.5
09:55,30.6
10:00,30.7
10:05,30.7
10:10,30.9
10:15,30.9
10:20,31.2
10:25,31.2
10:30,31.2
10:35,31.3
10:40,31.4
10:45,31.5
10:50,31.7
10:55,31.7
11:00,31.7
11:05,31.8
11:10,31.8
11:15,32
11:20,32.1
11:25,32.2
11:30,32.2
11:35,32.2
11:40,32.3
11:45,32.3
11:50,32.4
11:55,32.5
12:00,32.7
12:05,32.7
12:10,32.7
12:15,32.7
12:20,32.7
12:25,33
12:30,33
12:35,33.1
12:40,33.2
12:45,33.3
12:50,33.5
12:55,33.7
13:00,33.7
13:05,33.7
13:10,33.7
13:15,33.7
13:20,33.6
13:25,33.7
13:30,33.7
13:35,33.8
13:40,33.8
13:45,33.8
13:50,33.8
13:55,34.2
14:00,34.2
14:05,34.2
14:10,34.2
14:15,34.2
14:20,34.2
14:25,34.2
14:30,34.3
14:35,34.2
14:40,34.2
14:45,34.3
14:50,34.3
14:55,34.3
15:00,34.4
15:05,34.4
15:10,34.4
15:15,34.4
15:20,34.4
15:25,34.4
15:30,34.4
15:35,34.4
15:40,34.4
15:45,34.5
15:50,34.4
15:55,34.4
16:00,34.4
16:05,34.6
16:10,34.6
16:15,34.5
16:20,34.5
16:25,34.5
16:30,34.5
16:35,34.6
16:40,34.6
16:45,34.6
16:50,34.5
16:55,34.6
17:00,34.6
17:05,34.7
17:10,34.6
17:15,34.7
17:20,34.6
17:25,34.6
17:30,34.5
17:35,34.5
17:40,34.4
17:45,34.4
17:50,34.4
17:55,34.3
18:00,34.3
18:05,34.3
18:10,34.3
18:15,34.3
18:20,34.3
18:25,34.2
18:30,34.1
18:35,34
18:40,33.9
18:45,33.9
18:50,33.7
18:55,33.7
19:00,33.6
19:05,33.6
19:10,33.6
19:15,33.5
19:20,33.4
19:25,33.3
19:30,33.2
19:35,33
19:40,32.7
19:45,32.7
19:50,32.7
19:55,32.6
20:00,32.5
20:05,32.4
20:10,32.1
20:15,32.1
20:20,31.8
20:25,31.7
20:30,31.6
20:35,31.4
20:40,31.3
20:45,31
20:50,31
20:55,31
21:00,31
21:05,30.6
21:10,30.6
21:15,30.7
21:20,30.6
21:25,30.6
21:30,30.6
21:35,30.5
21:40,30.5
21:45,30.5
21:50,30.5
21:55,30.3
22:00,30.3
22:05,30.3
22:10,30.3
22:15,30.2
22:20,30.1
22:25,30
22:30,30
22:35,30
22:40,30.1
22:45,30
22:50,30.1
22:55,30
23:00,30
23:05,30.1
23:10,30.1
23:15,29.9
23:20,29.9
23:25,29.9
23:30,29.9
23:35,29.8
23:40,29.8
23:45,29.8
23:50,29.8
23:55,29.8
00:00,29.8
00:05,29.7
00:10,29.7
00:15,29.7
00:20,29.7
00:25,29.7
00:30,29.7
00:35,29.6
00:40,29.6
00:45,29.7
00:50,29.6
00:55,29.6
01:00,29.7
01:05,29.6
01:10,29.6
01:15,29.6
01:20,29.6
01:25,29.6
01:30,29.6
01:35,29.6
01:40,29.6
01:45,29.5
01:50,29.6
01:55,29.6
02:00,29.5
02:05,29.5
02:10,29.5
02:15,29.5
02:20,29.5
02:25,29.5
02:30,29.5
02:35,29.5
02:40,29.4
02:45,29.4
02:50,29.4
02:55,29.4
03:00,29.4
03:05,29.4
03:10,29.4
03:15,29.4
03:20,29.4
03:25,29.4
03:30,29.3
03:35,29.3
03:40,29.3
03:45,29.3
03:50,29.1
03:55,29.1
04:00,29
04:05,29
04:10,28.9
04:15,29
04:20,29.1
04:25,29
04:30,29
04:35,28.9
04:40,28.9
04:45,28.9
04:50,29
04:55,29
05:00,29
05:05,29
05:10,29.1
05:15,29.1
05:20,29
05:25,29
05:30,29
05:35,29.1
05:40,29.1
05:45,29.1
05:50,29.1
05:55,29.1
06:00,29.2
06:05,29.2
06:10,29.2
06:15,29.2
06:20,29.2
06:25,29.2
06:30,29.3
06:35,29.3
06:40,29.2
06:45,29.2
06:50,29.3
06:55,29.3
07:00,29.3
07:05,29.3
07:10,29.3
07:15,29.3
07:20,29.4
07:25,29.4
07:30,29.4
07:35,29.4
07:40,29.5
07:45,29.5
07:50,29.5
07:55,29.6
08:00,29.6
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
